Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,ANI Check status,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Contig N50,Assembly Stats Scaffold N50,Assembly Stats Number of Scaffolds,Annotation BUSCO Complete ,Annotation BUSCO Single Copy ,Annotation BUSCO Duplicated ,Annotation BUSCO Fragmented ,Annotation BUSCO Missing ,Annotation BUSCO Lineage ,Assembly Sequencing Tech,Assembly Submitter,Assembly BioProject Accession,Assembly BioSample Accession,Annotation Count Gene Total,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Type Material Display Text,CheckM marker set,CheckM completeness,CheckM contamination
GCF_023702125.1,ASM2370212v1,Halorubrum hochsteinianum,2949307,OK,,1/13/2028,,,,,GCF_023702125.1-RS_2024_05_12,3063422,2,Complete Genome,6/11/2022,,2962044,2962044,2,,,,,,,PacBio Sequel,Jiangsu University,PRJNA842494,SAMN28671404,3096,3007,31,assembly from type material,Halorubrum,97.48,2.95
GCF_019704315.1,ASM1970431v1,Stygiolobus caldivivus,2824673,OK,,KN-1,,,,,GCF_019704315.1-RS_2024_03_28,2958410,1,Complete Genome,6/11/2021,,2958410,2958410,1,,,,,,,Illumina NovaSeq 6000; Oxford Nanopore MinION,Soka University,PRJDB11520,SAMD00297278,2952,2839,62,assembly from type material,Sulfolobaceae,97.52,2.06
GCF_029338575.1,ASM2933857v1,Halomarina halobia,3033386,OK,,PSR21,,,,,GCF_029338575.1-RS_2024_07_29,4297337,4,Complete Genome,3/22/2023,,2948662,2948662,4,,,,,,,PacBio Sequel,Jiangsu University,PRJNA942485,SAMN33693470,4390,4240,98,assembly from type material,Halobacteriales,99.07,2.07
GCF_013267195.1,ASM1326719v1,Halorubrum salinarum,2739057,OK,,RHB-C,,,,,GCF_013267195.1-RS_2024_10_23,3340250,3,Complete Genome,6/4/2020,,2937429,2937429,3,,,,,,,PacBio RSII; Illumina HiSeq,Korea Research Institute of Bioscience & Biotechnology (KRIBB),PRJNA634031,SAMN14979699,3381,3276,49,assembly from type material,Halorubrum,98.17,4.97
GCF_029338555.1,ASM2933855v1,Halobaculum marinum,3031996,OK,,DT55,,,,,GCF_029338555.1-RS_2024_06_17,3506531,3,Complete Genome,3/22/2023,,2929000,2929000,3,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA941201,SAMN33593123,3577,3468,55,assembly from type material,Halobacteriales,97.34,2.07
GCF_017094525.1,ASM1709452v1,Halapricum desulfuricans,2841257,OK,,HSR12-2,,,,,GCF_017094525.1-RS_2024_10_23,2893909,1,Complete Genome,3/1/2021,,2893909,2893909,1,,,,,,,Illumina MiSeq; PacBio,C.N.R. - Institute for Biological Resources and Marine Biotechnology (IRBIM),PRJNA670125,SAMN16484277,2986,2852,78,assembly from type material,Halobacteriales,97.93,1.08
GCF_024227995.1,ASM2422799v1,Halomicrococcus gelatinilyticus,1702103,Inconclusive,,GSLN9,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),3721977,4,Complete Genome,7/13/2022,,2870650,2870650,4,,,,,,,PacBio,Jiangsu University,PRJNA854382,SAMN29438988,3841,3764,21,assembly from type material,Halobacteriales,98.69,2.7
GCF_020614375.1,ASM2061437v1,Haladaptatus salinisoli,2884876,OK,,PSR8,,,,,GCF_020614375.1-RS_2024_07_29,5035265,8,Complete Genome,10/26/2021,,2866551,2866551,8,,,,,,,PacBio,Jiangsu University,PRJNA772078,SAMN22363859,5203,5061,83,assembly from type material,Halobacteriales,99.52,2.35
GCF_030127145.1,ASM3012714v1,Halobaculum halobium,3032281,OK,,SYNS20,,,,,GCF_030127145.1-RS_2024_06_17,3459201,3,Complete Genome,5/29/2023,,2828450,2828450,3,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA941502,SAMN33610087,3564,3387,121,assembly from type material,Halobacteriales,92.05,3.53
GCF_009729055.1,ASM972905v1,Sulfurisphaera ohwakuensis,69656,OK,,TA-1,,,,,GCF_009729055.1-RS_2024_03_28,2803915,1,Complete Genome,12/4/2019,,2803915,2803915,1,,,,,,,PacBio Sequel,North Carolina State University,PRJNA488459,SAMN09933092,3079,2915,113,assembly from type material,Sulfolobaceae,99.31,0.67
GCF_030296715.1,ASM3029671v1,Methanobacterium ferruginis,710191,OK,,NBRC 105197,,,,,GCF_030296715.1-RS_2024_06_21,2803797,1,Complete Genome,3/24/2023,,2803797,2803797,1,,,,,,,Nanopore,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),PRJDB15044,SAMD00582126,2862,2634,175,assembly from type material,Methanobacterium,81.4,7.86
GCF_023028225.1,ASM2302822v1,Halorientalis litorea,2931977,OK,,ZY14,,,,,GCF_023028225.1-RS_2024_08_31,3214077,5,Complete Genome,4/18/2022,,2798302,2798302,5,,,,,,,PacBio Sequel,Jiangsu University,PRJNA822515,SAMN27190819,3390,3287,52,assembly from type material,Halobacteriales,99.93,0.83
GCF_031312595.1,ASM3131259v1,Methanolobus sediminis,3072978,OK,,FTZ6,,,,,GCF_031312595.1-RS_2024_08_04,2798037,2,Complete Genome,9/8/2023,,2794531,2794531,2,,,,,,,Illumina; Oxford Nanopore,Shenzhen University,PRJNA1009938,SAMN37170651,2766,2680,17,assembly from type material,Methanolobus,90.14,7.31
GCF_030127125.1,ASM3012712v1,Halobaculum litoreum,3031998,OK,,DT92,,,,,GCF_030127125.1-RS_2024_06_17,3042468,2,Complete Genome,5/29/2023,,2777111,2777111,2,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA941208,SAMN33593200,3241,2955,232,assembly from type material,Halobacteriales,90.46,0.83
GCF_022870485.1,ASM2287048v1,Halococcus dombrowskii,179637,OK,,H4,,,,,GCF_022870485.1-RS_2024_04_26,3965466,6,Complete Genome,4/11/2022,,2767537,2767537,6,,,,,,,Oxford Nanopore,MacLea Lab & Binomica Labs collaboration,PRJNA822675,SAMN27257334,4060,3877,117,assembly from type material,Halococcus,97.95,12.4
GCF_017357525.1,ASM1735752v1,Methanofollis aquaemaris,126734,OK,,N2F9704,,,,,GCF_017357525.1-RS_2024_10_23,2746416,1,Complete Genome,3/16/2021,,2746416,2746416,1,,,,,,,Illumina MiSeq,National Chung Hsing University,PRJNA269558,SAMN03254450,2600,2533,11,assembly from type material,Methanomicrobiaceae,97.33,3.46
GCF_003058365.1,ASM305836v1,Halococcoides cellulosivorans,1679096,OK,,HArcel1T,,,,,GCF_003058365.1-RS_2024_10_23,2723120,1,Complete Genome,4/21/2018,,2723120,2723120,1,,,,,,,Illumina MiSeq,Immanuel Kant Baltic Federal University,PRJNA449302,SAMN08826612,2695,2605,21,assembly from type material,Halobacteriales,96.78,0.35
GCF_013388255.1,ASM1338825v1,Methanolobus zinderi,536044,OK,,DSM 21339,,,,,GCF_013388255.1-RS_2024_05_05,2704953,1,Complete Genome,7/4/2020,,2704953,2704953,1,,,,,,,Illumina MiSeq; PacBio Sequel,National Chung Hsing University,PRJNA641069,SAMN15340093,2706,2635,12,assembly from type material,Methanolobus,89.14,3.89
GCF_024508235.1,ASM2450823v1,Halococcus qingdaonensis,224402,OK,,CGMCC 1.4243,,,,,GCF_024508235.1-RS_2024_08_16,2703393,1,Complete Genome,8/3/2022,,2703393,2703393,1,,,,,,,PacBio,Jiangsu University,PRJNA861109,SAMN29883558,2826,2733,41,assembly from type material,Halococcus,96.01,4.15
GCF_021233415.1,ASM2123341v1,Halobacterium litoreum,2039234,OK,,ZS-54-S2,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2709004,2,Complete Genome,12/20/2021,,2697405,2697405,2,,,,,,,PacBio Sequel,Jiangsu University,PRJNA787373,SAMN23798363,2981,2922,7,assembly from type material,Halobacterium,92.47,7.25
GCF_026684035.1,ASM2668403v1,Methanogenium organophilum,2199,OK,,DSM 3596,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2648164,1,Complete Genome,12/6/2022,,2648164,2648164,1,,,,,,,PacBio Sequel,National Chung Hsing University,PRJNA905568,SAMN31875339,2595,2519,14,assembly from type material,Methanomicrobiaceae,96.78,4.81
GCF_026248685.1,ASM2624868v1,Haladaptatus caseinilyticus,2993314,OK,,ZJ1,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4818353,7,Complete Genome,11/21/2022,,2647751,2647751,7,,,,,,,PacBio,Jiangsu University,PRJNA897730,SAMN31580283,4900,4768,72,assembly from type material,Halobacteriales,99.52,0.97
GCF_029338355.1,ASM2933835v1,Halosegnis marinus,3034023,Inconclusive,,DT85,,,,,GCF_029338355.1-RS_2024_03_17,2811024,2,Complete Genome,3/22/2023,,2647546,2647546,2,,,,,,,Illumina HiSeq,Jiangsu University,PRJNA943336,SAMN33716776,3085,2997,36,assembly from type material,Halobacteriales,97.2,1.52
GCF_031312535.1,ASM3131253v1,Methanolobus mangrovi,3072977,OK,,FTZ2,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2623311,1,Complete Genome,9/8/2023,,2623311,2623311,1,,,,,,,Illumina; Oxford Nanopore,Shenzhen University,PRJNA1009938,SAMN37170650,2574,2488,14,assembly from type material,Methanolobus,88.59,4.93
GCF_024498335.1,ASM2449833v1,Halobellus inordinatus,1126236,OK,,DSM 26177,,,,,GCF_024498335.1-RS_2024_08_07,2853958,2,Complete Genome,8/1/2022,,2612640,2612640,2,,,,,,,PacBio,Jiangsu University,PRJNA861105,SAMN29883447,2919,2812,50,assembly from synonym type material,Halobacteriales,98.65,
GCF_041154675.1,ASM4115467v1,Sulfurisphaera javensis,2049879,OK,,KD-1,,,,,GCF_041154675.1-RS_2024_08_10,2569661,1,Complete Genome,8/10/2024,,2569661,2569661,1,,,,,,,Illumina NovaSeq; Nanopore MinION,"Contact:Hiroyuki Sakai Soka University, Department of Science and Engineering for Sustainable Innovation; 1-236 Tangimachi, Hachioji, Tokyo 192-8577, Japan",PRJDB17708,SAMD00759181,2800,2698,51,assembly from type material,Sulfolobaceae,99.05,0.77
GCF_008326425.1,SulIC006_1.0,Sulfuracidifex tepidarius,1294262,OK,,IC-006,,,,,GCF_008326425.1-RS_2024_08_19,2560765,1,Complete Genome,8/9/2019,,2560765,2560765,1,,,,,,,Illumina MiSeq; Oxford Nanopore,RIKEN-BRC,PRJDB7341,SAMD00137265,2682,2546,84,assembly from type material,Sulfolobaceae,98.98,0.72
GCF_003201675.2,ASM320167v2,Metallosphaera hakonensis JCM 8857 = DSM 7519,1293036,OK,,HO1-1,,,,,GCF_003201675.2-RS_2024_03_29,2544115,1,Complete Genome,3/10/2020,,2544115,2544115,1,,,,,,,Illumina NextSeq,North Carolina State University,PRJNA463410,SAMN09071531,2639,2449,139,assembly from type material,Metallosphaera,96.55,1.15
GCF_023115355.1,ASM2311535v1,Halocatena salina,2934340,OK,,AD-1,,,,,GCF_023115355.1-RS_2024_07_29,4012255,5,Complete Genome,4/26/2022,,2527185,2527185,5,,,,,,,PacBio,Jiangsu University,PRJNA825720,SAMN27533989,3906,3749,106,assembly from type material,Halobacteriales,99.54,2.01
GCF_002813695.1,ASM281369v1,Methanobacterium subterraneum,59277,OK,,A8p,,,,,GCF_002813695.1-RS_2024_10_22,2515817,1,Complete Genome,12/7/2017,,2515817,2515817,1,,,,,,,PacBio,Japan Agency for Marine-Earth Science and technology,PRJNA349209,SAMN05928842,2485,2411,22,assembly from type material,Methanobacterium,93.51,4.4
GCF_001488575.1,Halobacterium hubeiense JI20-1,Halobacterium hubeiense,1407499,OK,,JI20-1,,,,,GCF_001488575.1-RS_2024_10_22,3130345,4,Complete Genome,12/17/2015,,2510607,2510607,4,,,,,,,,UH,PRJEB4726,SAMEA3305703,3362,3274,36,assembly from type material,Halobacterium,92.64,10.04
GCF_021249405.1,ASM2124940v1,Halobacterium zhouii,2902624,OK,,XZYJT26,,,,,GCF_021249405.1-RS_2024_06_10,2828879,4,Complete Genome,12/21/2021,,2509167,2509167,4,,,,,,,PacBio Sequel,Jiangsu University,PRJNA787367,SAMN23798265,2928,2863,12,assembly from type material,Halobacterium,88.66,6.64
GCF_021184045.1,ASM2118404v1,Methanococcoides orientis,2822137,OK,,LMO-1,,,,,GCF_021184045.1-RS_2024_09_19,2494162,1,Complete Genome,12/14/2021,,2494162,2494162,1,,,,,,,Oxford Nanopore PromethION; MGISEQ-2000,Shanghai Jiao Tong University,PRJNA718391,SAMN18869927,2448,2346,21,assembly from type material,Methanosarcinaceae,99.79,0.72
GCF_000234805.1,ASM23480v1,Pyrobaculum ferrireducens,1104324,OK,,1860,,,,,GCF_000234805.1-RS_2024_03_28,2467972,1,Complete Genome,11/10/2011,,2467972,2467972,1,,,,,,,,Centre Bioengineering RAS,PRJNA74711,SAMN02603094,2845,2764,32,assembly from type material,Pyrobaculum,98.46,0.46
GCF_025914035.1,ASM2591403v1,Methanoculleus submarinus,204050,Inconclusive,,DSM 15122,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2462514,1,Complete Genome,10/31/2022,,2462514,2462514,1,,,,,,,PacBio Sequel,National Chung Hsing University,PRJNA891094,SAMN31309218,2503,2446,4,assembly from type material,Methanomicrobiaceae,99.35,0.87
GCF_029633915.1,ASM2963391v1,Methanomicrobium antiquum,487686,OK,,DSM 21220,,,,,GCF_029633915.1-RS_2024_04_10,2438126,1,Complete Genome,4/10/2023,,2438126,2438126,1,,,,,,,PacBio Sequel,National Chung Hsing University,PRJNA798152,SAMN25047802,2378,2303,11,assembly from type material,Methanomicrobiaceae,94.7,4.04
GCF_003201765.2,ASM320176v2,Acidianus sulfidivorans JP7,619593,OK,,JP7,,,,,GCF_003201765.2-RS_2024_03_29,2265309,1,Complete Genome,3/10/2020,,2265309,2265309,1,,,,,,,Illumina NextSeq,North Carolina State University,PRJNA463410,SAMN09071530,2352,2288,13,assembly from type material,Sulfolobaceae,99.64,2.4
GCF_009729015.1,ASM972901v1,Acidianus ambivalens,2283,OK,,LEI 10,,,,,GCF_009729015.1-RS_2024_03_28,2252027,1,Complete Genome,12/4/2019,,2252027,2252027,1,,,,,,,PacBio Sequel,North Carolina State University,PRJNA488459,SAMN09933089,2651,2525,74,assembly from type material,Sulfolobaceae,98.52,1.78
GCF_006274605.1,ASM627460v1,Thermococcus indicus,2586643,OK,,IOH1,,,,,GCF_006274605.1-RS_2024_10_23,2234010,2,Complete Genome,6/12/2019,,2226336,2226336,2,,,,,,,PacBio,Korea Institute of Ocean Science & Technology (KIOST),PRJNA546462,SAMN11959431,2457,2369,36,assembly from type material,Thermococcus,98.18,1.05
GCF_020614395.1,ASM2061439v1,Salarchaeum japonicum,555573,OK,,JCM 16327,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2339281,2,Complete Genome,10/26/2021,,2204074,2204074,2,,,,,,,PacBio Sequel,Jiangsu University,PRJNA772374,SAMN22374871,2616,2560,4,assembly from type material,Halobacteriaceae,99.18,0.82
GCF_005222525.1,ASM522252v1,Metallosphaera prunae,47304,Inconclusive,,Ron 12/II,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2202576,1,Complete Genome,5/7/2019,,2202576,2202576,1,,,,,,,PacBio,North Carolina State University,PRJNA463410,SAMN09071532,2414,2341,22,assembly from type material,Metallosphaera,99.12,0.28
GCF_032594095.1,ASM3259409v1,Methanimicrococcus hongohii,3028295,OK,,Hf6,,,,,GCF_032594095.1-RS_2024_03_31,2193213,1,Complete Genome,10/12/2023,,2193213,2193213,1,,,,,,,Illumina MiSeq;Oxford Nanopore MinION,Georg-August-University Goettingen,PRJNA983582,SAMN34026937,2035,1953,23,assembly from type material,Methanosarcinaceae,80.04,1.04
GCF_018141185.1,ASM1814118v1,Methanobacterium alkalithermotolerans,2731220,OK,,CAN,,,,,GCF_018141185.1-RS_2024_10_23,2187077,1,Complete Genome,4/27/2021,,2187077,2187077,1,,,,,,,Illumina HiSeq; Oxford Nanopore GridION,"Mediterranean Institute of Oceanography (MIO), UMR 7294",PRJNA626556,SAMN14689430,2200,2142,9,assembly from type material,Methanobacterium,91.33,5.38
GCF_013343295.1,ASM1334329v1,Metallosphaera tengchongensis,1532350,OK,,Ric-A,,,,,GCF_013343295.1-RS_2024_05_05,2176897,1,Complete Genome,6/15/2020,,2176897,2176897,1,,,,,,,PacBio; Illumina,Institute of microbiology,PRJNA602369,SAMN13893344,2311,2229,30,assembly from type material,Metallosphaera,96.77,1.68
GCF_013407185.1,ASM1340718v1,Nitrosopumilus ureiphilus,1470067,OK,,PS0,,,,,GCF_013407185.1-RS_2024_04_29,2171418,1,Complete Genome,7/13/2020,,2171418,2171418,1,,,,,,,PacBio,University of Washington,PRJNA434056,SAMN08535028,2634,2571,11,assembly from type material,Nitrosopumilaceae,91.68,11.83
GCF_008152015.1,ASM815201v1,Thermococcus aciditolerans,2598455,OK,,SY113,,,,,GCF_008152015.1-RS_2024_10_23,2165038,1,Complete Genome,8/30/2019,,2165038,2165038,1,,,,,,,Oxford Nanopore GridION,"Institute of Deep-Sea Science and Engineering, CAS",PRJNA555896,SAMN12340929,2414,2331,31,assembly from type material,Thermococcus,99.3,0.35
GCF_900198835.1,chr_EXT12c,Thermococcus henrietii,2016361,OK,,EXT12c,,,,,GCF_900198835.1-RS_2024_10_22,2155760,1,Complete Genome,10/17/2017,,2155760,2155760,1,,,,,,,,Universite de Bretagne Occidentale,PRJEB22778,SAMEA104149373,2393,2323,18,assembly from type material,Thermococcus,98.99,1.05
GCF_000769655.1,ASM76965v1,Thermococcus eurythermalis,1505907,OK,,A501,,,,,GCF_000769655.1-RS_2024_10_21,2126164,2,Complete Genome,10/28/2014,,2122535,2122535,2,,,,,,,Illumina,Laboratory of Marine Oceanography,PRJNA251677,SAMN02838508,2335,2252,31,assembly from type material,Thermococcus,98.64,1.57
GCF_024707485.1,ASM2470748v1,Thermococcus thermotolerans,2969672,OK,,813A4,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2070864,1,Complete Genome,8/18/2022,,2070864,2070864,1,,,,,,,Illumina HiSeq,"(LMO)Laboratory of Microbial Oceanography, Shanghai Jiao Tong University",PRJNA865090,SAMN30184678,2338,2280,6,assembly from type material,Thermococcus,99,0.7
GCF_002214505.1,ASM221450v1,Thermococcus siculi,72803,OK,,RG-20,,,,,GCF_002214505.1-RS_2024_10_22,2029167,1,Complete Genome,7/5/2017,,2029167,2029167,1,,,,,,,Sanger dideoxy sequencing; Illumina,Ecole Normale Superieure de Lyon,PRJNA274230,SAMN03324165,2193,2130,12,assembly from type material,Thermococcus,99.27,0.73
GCF_904067545.1,T_caminus_IRI35c,Thermococcus camini,2016373,OK,,IRI35c,,,,,GCF_904067545.1-RS_2024_10_23,2022529,1,Complete Genome,9/11/2020,,2022529,2022529,1,,,,,,,,Universite de Bretagne Occidentale,PRJEB40155,SAMEA104149385,2228,2168,8,assembly from type material,Thermococcus,99.69,0.42
GCF_033097485.1,ASM3309748v1,Pyrofollis japonicus,3060460,OK,,YC29,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2005174,1,Complete Genome,8/1/2023,,2005174,2005174,1,,,,,,,Illumina SBS technology,Kyoto University,PRJDB16249,SAMD00632347,2095,2040,4,assembly from type material,Pyrodictiaceae,92.15,10.57
GCF_002214585.1,ASM221458v1,Thermococcus profundus,49899,OK,,DT 5432,,,,,GCF_002214585.1-RS_2024_10_22,2043143,2,Complete Genome,7/5/2017,,2005098,2005098,2,,,,,,,454; Illumina,Ecole Normale Superieure de Lyon,PRJNA274230,SAMN03324163,2181,2125,4,assembly from type material,Thermococcus,99.21,0.35
GCF_009729035.1,ASM972903v1,Stygiolobus azoricus,41675,OK,,FC6,,,,,GCF_009729035.1-RS_2024_03_28,1987069,1,Complete Genome,12/4/2019,,1987069,1987069,1,,,,,,,PacBio Sequel,North Carolina State University,PRJNA488459,SAMN09933091,2202,2119,32,assembly from type material,Sulfolobaceae,98.2,1.05
GCF_033472595.1,ASM3347259v1,Methanoculleus receptaculi,394967,OK,,DSM 18860,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),1980381,1,Complete Genome,11/9/2023,,1980381,1980381,1,,,,,,,PacBio Sequel,Sanming University,PRJNA1033202,SAMN38028080,2075,1992,31,assembly from type material,Methanomicrobiaceae,91.05,0.5
GCF_001577775.1,ASM157777v1,Pyrococcus kukulkanii,1609559,Inconclusive,,NCB100,,,,,GCF_001577775.1-RS_2024_10_22,1977126,1,Complete Genome,2/29/2016,,1977126,1977126,1,,,,,,,454; Illumina; IonTorrent,Ecole Normale Superieure de Lyon,PRJNA274214,SAMN03323778,2268,2166,36,assembly from type material,Pyrococcus,96.12,1.57
GCF_032594115.1,ASM3259411v1,Methanolapillus millepedarum,3028296,OK,,Ac7,,,,,GCF_032594115.1-RS_2024_03_29,1969708,1,Complete Genome,10/12/2023,,1969708,1969708,1,,,,,,,Illumina MiSeq;Oxford Nanopore MinION,Georg-August-University Goettingen,PRJNA983584,SAMN34026938,1787,1707,21,assembly from type material,Methanosarcinaceae,82.29,0.85
GCF_002214605.1,ASM221460v1,Thermococcus chitonophagus,54262,Inconclusive,,GC74,,,,,GCF_002214605.1-RS_2024_10_22,1961979,1,Complete Genome,7/5/2017,,1961979,1961979,1,,,,,,,Sanger dideoxy sequencing; Illumina,Ecole Normale Superieure de Lyon,PRJNA274230,SAMN03324156,2222,2140,28,assembly from type material,Thermococcus,97.55,1.34
GCF_000265525.1,ASM26552v1,Thermococcus cleftensis,163003,OK,,CL1,,,,,GCF_000265525.1-RS_2024_10_21,1950313,1,Complete Genome,6/11/2012,,1950313,1950313,1,,,,,,,454,Kyung Hee University,PRJNA167371,SAMN02603492,2123,2063,8,assembly from type material,Thermococcus,99.69,0.35
GCF_023746595.1,ASM2374659v1,Thermococcus argininiproducens,2866384,OK,,IOH2,,,,,GCF_023746595.1-RS_2024_04_15,1946248,1,Complete Genome,6/16/2022,,1946248,1946248,1,,,,,,,Illumina NovaSeq,Korea Institute of Ocean Science and Technology,PRJNA752218,SAMN20586767,2132,2068,12,assembly from type material,Thermococcus,99.48,1.05
GCF_900083515.1,ASM90008351v1,Cuniculiplasma divulgatum,1673428,OK,,S5(T) (=JCM 30642; =VKM B-2941),,,,,GCF_900083515.1-RS_2024_10_22,1938699,1,Complete Genome,12/13/2016,,1938699,1938699,1,,,,,,,,Immanuel Kant Baltic Federal University,PRJEB12276,SAMEA3719625,1987,1921,15,assembly from type material,Thermoplasmatales,87.85,5.53
GCF_001647085.1,ASM164708v1,Thermococcus piezophilus,1712654,OK,,CDGS,,,,,GCF_001647085.1-RS_2024_10_22,1928800,1,Complete Genome,5/18/2016,,1928800,1928800,1,,,,,,,IonTorrent; PacBio,Institut National des Sciences Appliquees de Lyon,PRJNA320084,SAMN04915575,2284,2107,125,assembly from type material,Thermococcus,93.15,1.52
GCF_002214465.1,ASM221446v1,Thermococcus barossii,54077,OK,,SHCK-94,,,,,GCF_002214465.1-RS_2024_10_22,1922421,1,Complete Genome,7/5/2017,,1922421,1922421,1,,,,,,,Sanger dideoxy sequencing; Illumina; IonTorrent,Ecole Normale Superieure de Lyon,PRJNA274230,SAMN03324153,2092,2032,8,assembly from type material,Thermococcus,99.51,0.35
GCF_000816105.1,ASM81610v1,Thermococcus guaymasensis DSM 11113,1432656,OK,,DSM 11113,,,,,GCF_000816105.1-RS_2024_10_21,1920914,1,Complete Genome,1/7/2015,,1920914,1920914,1,,,,,,,454 GS FLX Titanium,University of Waterloo,PRJNA230529,SAMN02429659,2158,2084,22,assembly from type material,Thermococcus,98.81,1.05
GCF_032594355.1,ASM3259435v1,Methanolapillus ohkumae,3028298,OK,,Am2,,,,,GCF_032594355.1-RS_2024_03_29,1895112,1,Complete Genome,10/12/2023,,1895112,1895112,1,,,,,,,Illumina MiSeq;Oxford Nanopore MinION,Georg-August-University Goettingen,PRJNA983585,SAMN34026940,1664,1579,27,assembly from type material,Methanosarcinaceae,81.54,1.43
GCF_002214565.1,ASM221456v1,Thermococcus radiotolerans,187880,OK,,EJ2,,,,,GCF_002214565.1-RS_2024_10_22,1868990,1,Complete Genome,7/5/2017,,1868990,1868990,1,,,,,,,Sanger dideoxy sequencing; Illumina; IonTorrent,Ecole Normale Superieure de Lyon,PRJNA274230,SAMN03324164,2066,2007,8,assembly from type material,Thermococcus,99.39,0.35
GCF_002214365.1,ASM221436v1,Thermococcus celer Vu 13 = JCM 8558,1293037,OK,,Vu 13,,,,,GCF_002214365.1-RS_2024_10_22,1866819,1,Complete Genome,7/5/2017,,1866819,1866819,1,,,,,,,Illumina; IonTorrent,Ecole Normale Superieure de Lyon,PRJNA274230,SAMN03324154,2049,1957,40,assembly from type material,Thermococcus,98.7,0.7
GCF_001592435.1,ASM159243v1,Thermococcus peptonophilus,53952,OK,,OG-1,,,,,GCF_001592435.1-RS_2024_10_23,1896106,2,Complete Genome,3/15/2016,,1847000,1847000,2,,,,,,,454; Illumina,Ecole Normale Superieure de Lyon,PRJNA274230,SAMN03324162,2104,2029,23,assembly from type material,Thermococcus,97.6,0.35
GCF_032594435.1,ASM3259443v1,Methanimicrococcus stummii,3028294,OK,,Es2,,,,,GCF_032594435.1-RS_2024_03_31,1827352,1,Complete Genome,10/12/2023,,1827352,1827352,1,,,,,,,Illumina MiSeq;Oxford Nanopore MinION,Georg-August-University Goettingen,PRJNA983581,SAMN34026936,1669,1591,18,assembly from type material,Methanosarcinaceae,80.33,1.04
GCF_000956175.1,ASM95617v1,Nitrosopumilus adriaticus,1580092,OK,,NF5,,,,,GCF_000956175.1-RS_2024_04_29,1803090,1,Complete Genome,3/19/2015,,1803090,1803090,1,,,,,,,was 454/FLX-Titanium sequencer (Roche),University of Vienna,PRJNA269341,SAMN03253153,2232,2161,23,assembly from type material,Nitrosopumilaceae,87.51,3.79
GCF_002214485.1,ASM221448v1,Thermococcus pacificus,71998,OK,,P-4,,,,,GCF_002214485.1-RS_2024_10_22,1785673,1,Complete Genome,7/5/2017,,1785673,1785673,1,,,,,,,Sanger dideoxy sequencing; Illumina; IonTorrent,Ecole Normale Superieure de Lyon,PRJNA274230,SAMN03324161,2007,1933,22,assembly from type material,Thermococcus,99.3,1.22
GCF_001006045.1,ASM100604v1,Geoglobus ahangari,113653,OK,,234,,,,,GCF_001006045.1-RS_2024_10_21,1770093,1,Complete Genome,5/11/2015,,1770093,1770093,1,,,,,,,Illumina,Michigan State University,PRJNA258102,SAMN02988852,2091,2026,14,assembly from type material,Archaeoglobaceae,97.47,1.62
GCF_025397995.1,ASM2539799v1,Methanothermobacter wolfeii,145261,OK,,DSM 2970,,,,,GCF_025397995.1-RS_2024_10_11,1706705,1,Complete Genome,9/24/2022,,1706705,1706705,1,,,,,,,PacBio Sequel,NEB,PRJNA622823,SAMN30825859,1886,1812,25,assembly from type material,Methanothermobacter,89.49,4.53
GCF_002214385.1,ASM221438v1,Thermococcus gorgonarius,71997,OK,,W-12,,,,,GCF_002214385.1-RS_2024_10_22,1674122,1,Complete Genome,7/5/2017,,1674122,1674122,1,,,,,,,Illumina; IonTorrent,Ecole Normale Superieure de Lyon,PRJNA274230,SAMN03324159,1904,1838,14,assembly from type material,Thermococcus,99.57,0.35
GCF_014876775.1,ASM1487677v1,Infirmifilum lucidum,2776706,OK,,3507LT,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),1625846,1,Complete Genome,10/11/2020,,1625846,1625846,1,,,,,,,Illumina MiSeq,Winogradsky Institute of Microbiology,PRJNA666162,SAMN16282219,1824,1770,5,assembly from type material,Thermoprotei,97.02,1.19
